time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-03T01:13:20.099Z,65.8437,-166.3722,32.1,4.1,ml,,,,0.65,ak,ak0198gbkbu4,2019-07-03T22:34:22.719Z,"41km SSW of Shishmaref, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2019-07-03T01:02:11.392Z,35.0097,27.9033,28.79,4.6,mb,,116,1.214,0.97,us,us7000491h,2019-07-03T05:25:28.040Z,"83km SE of Karpathos, Greece",earthquake,7.9,6.1,0.068,64,reviewed,us,us
2019-07-03T00:55:10.703Z,15.6507,-90.9774,10,4.5,mb,,84,0.604,0.81,us,us7000491e,2019-07-03T01:44:09.040Z,"19km NNE of Chajul, Guatemala",earthquake,16,2,0.044,155,reviewed,us,us
2019-07-02T22:40:56.360Z,35.0503333,-118.936,8.74,3.44,ml,89,28,0.1157,0.22,ci,ci38441215,2019-07-03T19:30:57.831Z,"12km N of Grapevine, CA",earthquake,0.14,0.42,0.182,172,reviewed,ci,ci
2019-07-02T22:22:52.090Z,35.0563333,-118.936,5.14,2.83,ml,56,40,0.1118,0.24,ci,ci38441167,2019-07-03T17:02:05.520Z,"13km N of Grapevine, CA",earthquake,0.19,1.03,0.196,74,reviewed,ci,ci
2019-07-02T22:21:12.300Z,36.09,-97.46133333,4.13,2.46,ml,90,21,0,0.2,ok,ok2019mwfu,2019-07-03T13:17:26.672Z,"18km NE of Crescent, Oklahoma",earthquake,,0.5,0.17,32,reviewed,ok,ok
2019-07-02T22:21:08.620Z,35.0513333,-118.9368333,7.73,3.35,ml,94,28,0.1155,0.24,ci,ci38441151,2019-07-03T14:36:01.990Z,"12km N of Grapevine, CA",earthquake,0.14,0.63,0.154,188,reviewed,ci,ci
2019-07-02T22:12:07.590Z,35.0518333,-118.9376667,8.45,2.52,ml,57,40,0.1157,0.21,ci,ci38441127,2019-07-03T18:53:34.220Z,"12km N of Grapevine, CA",earthquake,0.18,0.59,0.139,26,reviewed,ci,ci
2019-07-02T22:03:21.140Z,35.0523333,-118.9358333,8.3,2.75,ml,61,40,0.1143,0.23,ci,ci38441111,2019-07-03T00:18:30.610Z,"12km N of Grapevine, CA",earthquake,0.19,0.65,0.122,25,reviewed,ci,ci
2019-07-02T21:34:45.815Z,36.5631,70.8492,186.18,4.2,mb,,79,1.162,0.65,us,us700048y9,2019-07-02T21:51:51.040Z,"33km S of Jarm, Afghanistan",earthquake,7.8,6.5,0.159,11,reviewed,us,us
2019-07-02T20:39:03.960Z,59.0971,-152.4142,58.7,4,ml,,,,0.79,ak,ak0198ezhjln,2019-07-03T18:46:57.040Z,"78km SW of Homer, Alaska",earthquake,,0.4,,,reviewed,ak,ak
